,Date,Open,High,Low,Close,Volume
5076,2018-03-07,174.94,175.85,174.27,175.03,31703462.0
5077,2018-03-08,175.48,177.12,175.07,176.94,23163767.0
5078,2018-03-09,177.96,180.0,177.39,179.98,31385134.0
5079,2018-03-12,180.29,182.39,180.21,181.72,32055405.0
5080,2018-03-13,182.59,183.5,179.24,179.97,31168404.0
5081,2018-03-14,180.32,180.52,177.81,178.44,29075469.0
5082,2018-03-15,178.5,180.24,178.0701,178.65,22584565.0
5083,2018-03-16,178.65,179.12,177.62,178.02,36836456.0
5084,2018-03-19,177.32,177.47,173.66,175.3,32804695.0
5085,2018-03-20,175.24,176.8,174.94,175.24,19314039.0
5086,2018-03-21,175.04,175.09,171.26,171.27,35247358.0
5087,2018-03-22,170.0,172.68,168.6,168.85,41051076.0
5088,2018-03-23,168.39,169.92,164.94,164.94,40248954.0
5089,2018-03-26,168.07,173.1,166.44,172.77,36272617.0
5090,2018-03-27,173.68,175.15,166.92,168.34,38962839.0
5091,2018-03-28,167.25,170.02,165.19,166.48,41668545.0
5092,2018-03-29,167.805,171.75,166.9,167.78,38398505.0
5093,2018-04-02,167.88,168.94,164.47,166.68,37586791.0
5094,2018-04-03,167.64,168.7455,164.88,168.39,30278046.0
5095,2018-04-04,164.88,172.01,164.77,171.61,34605489.0
5096,2018-04-05,172.58,174.2304,172.08,172.8,26933197.0
5097,2018-04-06,170.97,172.48,168.2,168.38,35005290.0
5098,2018-04-09,169.88,173.09,169.845,170.05,29017718.0
5099,2018-04-10,173.0,174.0,171.53,173.25,28614241.0
5100,2018-04-11,172.23,173.9232,171.7,172.44,22431640.0
5101,2018-04-12,173.41,175.0,173.04,174.14,22889285.0
5102,2018-04-13,174.78,175.84,173.85,174.73,25124255.0
5103,2018-04-16,175.0301,176.19,174.8301,175.82,21578420.0
5104,2018-04-17,176.49,178.9365,176.41,178.24,26605442.0
5105,2018-04-18,177.81,178.82,176.88,177.84,20754538.0
5106,2018-04-19,174.95,175.39,172.66,172.8,34808800.0
5107,2018-04-20,170.595,171.2184,165.43,165.72,65491140.0
5108,2018-04-23,166.8348,166.92,164.09,165.24,36515477.0
5109,2018-04-24,165.67,166.33,161.2201,162.94,33692017.0
5110,2018-04-25,162.62,165.42,162.41,163.65,28382084.0
5111,2018-04-26,164.12,165.73,163.37,164.22,27963014.0
5112,2018-04-27,164.0,164.33,160.63,162.32,35655839.0
5113,2018-04-30,162.1302,167.26,161.84,165.26,42427424.0
5114,2018-05-01,166.4102,169.2,165.27,169.1,53569376.0
5115,2018-05-02,175.225,177.75,173.8,176.57,66539371.0
5116,2018-05-03,175.88,177.5,174.4411,176.89,34068180.0
5117,2018-05-04,178.25,184.25,178.17,183.83,56201317.0
5118,2018-05-07,185.18,187.67,184.75,185.16,42451423.0
5119,2018-05-08,184.99,186.22,183.665,186.05,28402777.0
5120,2018-05-09,186.55,187.4,185.22,187.36,23211241.0
5121,2018-05-10,187.74,190.37,187.65,190.04,27989289.0
5122,2018-05-11,189.49,190.06,187.45,188.59,26212221.0
5123,2018-05-14,189.01,189.53,187.86,188.15,20778772.0
5124,2018-05-15,186.78,187.07,185.1,186.44,23695159.0
5125,2018-05-16,186.07,188.46,186.0,188.18,19183064.0
5126,2018-05-17,188.0,188.91,186.36,186.99,17294029.0
